agencyCode,agencyName,bureauCode,currentUII,investmentTitle,date,analysisResults,analysisConclusion,updatedTime
006,"Department of Commerce",48,006-000312900,"NOAA/NWS/ Dissemination",2022-11-14," IDP On-Premise Cloud provided a 97.78% availability for FY 2022. 
While the IDP On-Premise Cloud in College Park, MD and Boulder, CO allows for a 100% backup for mission critical NWS applications and services, the NWS is also expanding into the Public Cloud to meet future customer needs. In FY 2022, several applications became operational in the DIS Public Cloud.
In FY 2023, NWSChat 2.0 will be implemented in the cloud, Flood Inundation Mapping (FIM) Services will become operational via the HydroVIS application that resides in the DIS Public Cloud, and the GIS Viewer is planning significant upgrades that will help NWS consolidate GIS display applications and save resources. 
","initiate innovation action","2023-01-30 08:32:08"
006,"Department of Commerce",00,006-000051000,"OS OFM Commerce Business Systems (CBS)",2020-11-30,"The CBS investment is in steady-state mode and is meeting cost, schedule, and performance goals.  There is no negative cost or schedule variance.  The CBS acquisition and planning phase was completed for all bureaus on time and within budget.  The costs for Operations and Maintenance are phased over each year.  The Department is on track to complete all Operations and Maintenance annual milestones on schedule and within budget.    ","continue as-is","2021-09-29 10:34:37"
006,"Department of Commerce",00,006-000051000,"OS OFM Commerce Business Systems (CBS)",2021-12-02,"The CBS investment is in steady-state mode and is meeting cost, schedule, and performance goals.  There is no negative cost or schedule variance.  The CBS acquisition and planning phase was completed for all bureaus on time and within budget.  The costs for Operations and Maintenance are phased over each year.  The Department is on track to complete all Operations and Maintenance annual milestones on schedule and within budget.    The CBS investment will be closed once the BAS implementation is completed for the Department, scheduled for FY25.","continue as-is","2022-01-26 08:31:41"
006,"Department of Commerce",00,006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2",2021-10-01,"Investment is in DME.","continue as-is","2021-11-22 16:34:15"
006,"Department of Commerce",07,006-000400100,"Census - American Community Survey (ACS)",2021-12-29,"Review of operational performance metrics resulted in the decision to continue reporting current items, which support current processes and procedures within the ACS.","continue as-is","2022-01-26 07:29:05"
006,"Department of Commerce",07,006-000400100,"Census - American Community Survey (ACS)",2023-01-06,"Review of operational performance metrics resulted in the decision to continue reporting current items, which support current processes and procedures within the ACS.","continue as-is","2023-01-30 14:24:22"
006,"Department of Commerce",07,006-000400800,"Census - Field Support Systems",2020-12-08,"Operational Analysis Completed December 2020.","continue as-is","2021-09-29 10:34:34"
006,"Department of Commerce",51,006-000805600,"USPTO Trademarks Product Line",2021-10-31,"The USPTO continues to invest its resources in stabilizing and modernizing its IT infrastructure.  The continued funding of this investment continues to pay dividends, from enhanced systems and solutions availability to increased customer satisfaction. To sustain this progress, the USPTO should continue to fund more modern infrastructure and innovative solutions to enable the enterprise-wide IT Stabilization and Modernization solutions.

The agile nature of this investment ensures continuous business value delivery and supports iterative process improvements. Metrics and milestones are used to ensure the investment goals remain on track. The Trademark leadership team will continue to conduct regular metric reviews on a monthly, quarterly, and annual basis.","continue as-is","2022-01-26 09:02:05"
006,"Department of Commerce",00,006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2",2022-10-01,"Investment is in DME.","continue as-is","2023-03-02 12:38:12"
006,"Department of Commerce",07,006-000400700,"Census - Economic Census and Surveys",2021-12-10,"Innovative assessments and technologies will be leveraged to enhance data gathering, processing, and analytics in ECON systems and applications.","initiate innovation action","2022-01-31 12:58:46"
006,"Department of Commerce",48,006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",2021-10-04,"The NOAA R&D HPCS is functioning at 99% system availability for FY2021. This is over its FY2021 target of 96% system availability.","continue as-is","2022-01-26 08:27:09"
006,"Department of Commerce",07,006-000000136,"Census - Enterprise Data Lake (EDL)",2022-06-24,"Given EDL role in supporting the Census strategic goals it is a significant investment for the Census Bureau. In FY22, EDL has goals to onboard customer datasets in Q2 and Q4. EDL has met these metrics by completing the HRD and ALE survey onboards (5 surveys total) by 6/30/22, and the Census Data Lake migration as of 6/10/2022. 
","continue as-is","2023-01-30 14:24:29"
006,"Department of Commerce",51,006-000805700,"USPTO Enterprise Business Product Line",2021-09-30,"USPTO continues to invest its resources in stabilizing and modernizing its IT infrastructure.  The continued funding of this investment continues to pay dividends, from enhanced systems and solutions availability to increased customer satisfaction. To sustain this progress, the USPTO plans to continue to fund more modern infrastructure and innovative solutions to enable the enterprise wide IT Stabilization and Modernization solutions.
","continue as-is","2021-10-28 16:20:02"
006,"Department of Commerce",08,006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.",2022-11-15,"BEA completed the operational analysis for FY22 in November 2022. In FY 2022, BEA IT systems supported the timely, relevant, and accurate release of 71 critical statistical estimates measuring U.S. economic activity.  BEA continued to improve its IT security program.  No significant weaknesses were identified in BEA IT security program. 

In FY 2023, BEA will continue to leverage technology to enhance efficiency and productivity by supporting statistical production modernization program in all program areas. The goals of the modernization program are to: 1) Mature the bureau wide plan for information technology modernization; 2) continue to improve the accuracy and reliability of existing statistics through enhanced data, increased collaboration with data partners, and better methods; 3) develop new and expanded products to measure a dynamic economy; 4) support best practices in data handling; and 5) continue to refine an architectural end-state for BEA cloud services, implement a unified approach to migrating to the cloud, continue to implement a smart transition based on requirements, business cases and best practices, and enable sharing of solutions across DOC. Going forward, BEA will continue its ongoing maintenance program required to sustain a robust computing infrastructure for the generation of BEA critical economic estimates, refine its management practices in order to minimize IT investment risk, increase the overall program-related return on investment, and ensure that the bureau IT resources effectively support the mission goals outlined in the BEA Strategic Plan. Specifically, BEA will continue to strengthen its IT security controls, and will continue to pursue its statistical production modernization program. ","continue as-is","2023-01-30 08:12:24"
006,"Department of Commerce",07,006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)",2022-11-28,"Review of operational performance metrics resulted in the decision to continue reporting current items, which support current processes and procedures within the DICE Program ","continue as-is","2023-02-17 16:50:14"
006,"Department of Commerce",48,006-000312900,"NOAA/NWS/ Dissemination",2021-10-29,"IDP  functionally is 98% availability for FY2021.
As IDP is reaching capacity, the Dissemination program has begun exploring cloud opportunities through the NOAA Office of the Chief Information Officer (OCIO). ","initiate remediation action","2022-01-26 08:27:09"
006,"Department of Commerce",51,006-000805500,"USPTO Patents Product Line",2022-09-30,"The USPTO's Annual IT Planning Board approved the Patent Product Line budget justification and submitted its recommendation the USPTO Financial Advisory Board on June 1, 2022, where they endorsed and forwarded it to the USPTO Director for final approval.  The Director's final approval provides validation of the Patent Product Line's FY23/24 budget request and continued investment in existing legacy applications/operations while also planning for replacement of obsolete legacy systems that no longer effectively meet business needs.  The Patent Product Line will continue its modernization efforts and deploy new systems to replace those legacy applications/operations deemed obsolete and are slated for retirement.

","continue as-is","2023-01-30 08:42:40"
006,"Department of Commerce",08,006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.",2021-12-13,"BEA last operational analysis was conducted in November 2021. In FY 2021, BEA IT systems supported the timely, relevant, and accurate release of 69 critical statistical estimates measuring U.S. economic activity.  BEA continued to improve its IT security program.  No significant weaknesses were identified in BEA IT security program. BEA submitted PIA, PTA and Privacy FISMA, completed management review of evaluation of the BEA-EITS Systems and Communications Protections (SC) NFRs, and evaluation of the BEA-EITS Audit (AU) NFRs, implemented SolarWinds replacement products, retired Skype migrated to Teams, replaced all telework laptops with no video capability, replaced all Dell 6540 laptops that were 5 years old. BEA deployed National, International, Regional Modernization systems in Azure environment.

In FY 2022, BEA will continue to leverage technology to enhance efficiency and productivity by supporting statistical production modernization program in all program areas. The goals of the modernization program are to: 1) implement a bureau wide plan for information technology modernization; 2) improve the accuracy and reliability of existing statistics through enhanced data, increased collaboration with data partners, and better methods; 3) develop new and expanded products to measure a dynamic economy; 4) support best practices in data handling; 5) strive for operational excellence to meet mission-critical goals in a cost-effective and efficient manner; and 6) position BEA to meet anticipated future budget challenges; 7) lay a critical foundation consistent with maintaining BEA position as the world s leading statistical organization; and 8) establish and architectural end-state for BEA cloud services, provide a unified approach to migrating to the cloud, promote a smart transition based on requirements, business cases and best practices, and enable sharing of solutions across DOC. Going forward, BEA will continue its ongoing maintenance program required to sustain a robust computing infrastructure for the generation of BEA critical economic estimates, refine its management practices in order to minimize IT investment risk, increase the overall program-related return on investment, and ensure that the bureau IT resources effectively support the mission goals outlined in the BEA Strategic Plan. Specifically, BEA will continue to strengthen its IT security controls, and will continue to pursue its statistical production modernization program.","continue as-is","2022-01-26 06:59:53"
006,"Department of Commerce",07,006-000400900,"Census - Geographic Support Program (GSP)",2022-12-16,"After analyzing our operational performance metrics and the ongoing requirements for the Geographic Support Program (GSP), the decision is to continue to utilize the systems that the Program has used this past year.  These systems continue to be successful in providing updates to the U.S. Census Bureau's Master Address File/Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System, which is used to provide the address frame and spatial data for numerous censuses and surveys, including the Decennial Census, the American Community Survey and they Economic Census","continue as-is","2023-02-28 10:20:28"
006,"Department of Commerce",48,006-000313000,"NOAA/NWS/ NWS Central Processing ",2020-11-02,"Operational metrics are consistently meeting targets.

AWIPS Customer Results - Service Restoration Level 1
   FY2020 Baseline - 90%
   FY2020 Actual - 97.84%

NCEP WCOSS System Availably
   FY2020 Baseline - 99%
   FY2020 Actual  - 99.71%","continue as-is","2021-09-29 10:34:35"
006,"Department of Commerce",48,006-000313000,"NOAA/NWS/ NWS Central Processing ",2022-09-30,"Operational metrics are consistently meeting targets.

AWIPS Customer Results - Service Restoration Level 1
   FY2022 Baseline - 90%
   FY2022 Actual  -  100%

NCEP WCOSS System Availably
   FY2022 Baseline - 99%
   FY2022 Actual  - 99.32%
","continue as-is","2023-01-30 08:32:09"
006,"Department of Commerce",30,006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)",2021-10-22,"The system continues to provide significant value to the exporting community.  Current FY 2020 and FY 2021 Metrics meet customer and financial goals with results representing effectiveness of program as a measure of user efficiency and customer shipping authorizations (aka validations). Validations are license decisions determined and issued by BIS. It has immediate impact on customer satisfaction as it determines what, where, and when for exporting conditions if approved. An ineffective technical licensing posture would impact global exports of licensed products, weaken the collaborative inter-agency license adjudication process, and cause additional storage cost and lost revenue to American businesses. BIS is also measuring those activities that are important and help satisfy other federal mandates, like security assessments and vulnerability monitoring.
In FY 2020, BIS processed 37,895 export license applications, via the CUESS application suite, with a total value of $173.7 billion. This marked a 10.8% increase from the 34,207 applications processed in 2019. BIS approved 32,687 license applications (86.3%), returned 4,754 applications without action (12.5%), and denied 454 applications (1.2%). The BIS average license application processing time this year was 23 days. This included time for reviews by the Departments of Defense, Energy, and State. Of FY 2020 licenses, Export Control Classification Number (ECCN) 9A610 (military aircraft and related commodities) was the greatest number of approved applications (4,994 licenses valued at a total of $14.7 billion). ECCN 5A992 (information security equipment) was the dual-use ECCN with the highest total value of approved applications ($21.2 billion involving 173 license approvals). BIS added 279 entities to the Entity List via nine Final Rules .
For FY 2020, U.S. companies exported $6.35 billion of licensed items. BIS-licensed exports represented 0.4% of total U.S. exports. Exports made under a BIS license exception totaled $14.5 billion, representing approximately 1.0% of overall U.S. exports.

Future Outlook
Beginning in FY 2022, BIS plans to initiate modernization efforts to redesign the CUESS suite of applications using native cloud-based technologies","initiate modernization/replacement action","2021-10-28 16:16:23"
006,"Department of Commerce",48,006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",2022-09-30,"The NOAA R&D HPCS is functioning at 99.46% system availability for FY2022. This is over its FY20212 target of 96% system availability.","continue as-is","2023-01-30 08:32:09"
006,"Department of Commerce",48,006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",2020-10-02,"The NOAA R&D HPCS is functioning at 99% system availability for FY2020. This is over its FY2020 target of 96% system availability.","continue as-is","2021-09-29 10:34:34"
024,"Department of Homeland Security",58,024-000005119,"CBP - Non-Intrusive Inspection (NII) Systems Program",2021-06-30,"CY2021 analysis determined that the NII program is at a point of transition where the duality of increased aging technology inventory requiring maintenance and planned new technology preparation for deployment through NII-I, have placed a dual, diverse, and nearly doubled set of operational complexities on the PMO. This parallel burden is especially notable in contract administration and engineering support of the two generations of complex technologies across the family of systems utilized by the program. In response, the program is working to implement an approved Organizational Change package to add Full-Time Equivalents (FTEs) to the PMO, as well as utilize detailees to augment its staff.
 
Customer Results: CBP is executing requirement, contract, and acquisition activities in parallel to initiate scanning increases at Southwest Border (SWB) LPOEs.  Customer needs are met by the Program’s ability to deploy new NII equipment that satisfy well-vetted SOWs, executing a specified acquisition budget and constant solicitation of user feedback.
 
Strategic and Business Results: The Program aligns to and enables, the DHS and CBP goals and objectives from the 2014 Quadrennial Homeland Security Review, 2017 National Security Strategy, 2020-2024 DHS Strategic Plan, as well as the strategic goals outlined in CBP’s Vision and Strategy 2021-2026.
 
Financial Performance: The NII Systems program achieved FOC in September 2021. Affordability is chiefly achieved through the elimination of procurements in FY2022 and beyond, which aligns with the strategic plan for transition of NII procurement to the NII-I program. Major procurement activity will transfer to the NII-I program, which will run in parallel through FY2035, as the NII program procurements will be limited to primarily sustaining its remaining aging inventory.
 
Innovation: The NII Program continues to conduct a variety of pilots and technology demonstrations with DHS partners to explore the use of the latest technology enhancements and the operational, logistical, and programmatic advantages of integrated systems. Several TDs are operational.
 
Op. Perf. Measures: The causes of the operational metrics that were not met in September 2021 have been addressed with improved inventory actions regarding supply parts for aging systems. There have been no impacts to operations since and none are expected.","continue as-is","2022-06-30 02:22:14"
024,"Department of Homeland Security",55,024-000005358,"ICE - TECS Modernization",2023-08-09,"Customer Results: HSI is continuing the process of transforming its Information Technology (IT) investment approach and processes for acquiring and delivering enhanced investigative capabilities to its 9,500-person global workforce. The ICE TECS Modernization Program?s Investigative Case Management (ICM) System provides the core toolset used by HSI agents worldwide to develop and document their criminal investigations of a wide range of domestic and international activities arising from the illegal movement of people and goods into, within and out of the United States.
?
Strategic and Business Results: The program deployed Initial Operating Capability (IOC) on June 27, 2016, allowing ICE to become independent of the legacy TECS mainframe, and Full Operating Capability (FOC) on August 12, 2017 to meet the business needs of DHS. The program has a positive Return on Investment and its benefits have materialized. The program is meeting all of its Key Performance Parameters (ICM Search Response Time, Transaction Response Time, Active Users, Operational Availability, and O&M Cost Variance). ?The program has an overall median customer satisfaction score of 4.46 (out of 5.0) indicating HSI?s approval of the system. ?The program's risks are being well-managed and are in the Moderate range. ?
?
Financial Performance and Operational Performance Measures: After the fifth year of O&M (in FY21), the program initiated a market evaluation about the current state of ICE's Investigative Case Management system. ?In FY22, the program is still performing market research to determine the path forward for ICE's Investigative Case Management system. The current vendor will receive a new O&M support contract, and will make a decision on the future state of ICM based on the results of the market evaluation. ?
?
Innovation and Risk Analysis: The program migrated all environments to the ICE Cloud in December 2018. It has conducted post ADE-3 Cybersecurity Test and Evaluationupon migration to the Cloud, and closed out all ADE-3 action items on February 28, 2019. ?All TECS Mod contracts are firm-fixed price, cost no-fee, or time and materials and support Agile methodologies. ?The TECS Mod contracts also define limited-scope work to manage cost, schedule, and scope risks.","continue as-is","2023-08-30 00:15:52"
024,"Department of Homeland Security",70,024-000007333,"FEMA - Logistics Supply Chain Management System (LSCMS)",2023-08-15,"The overall findings of the Operational Analysis assessment reveal the LSCMS Program continues to make substantive improvements into the LSCMS-C information system and support functions since achieving Full Operational Capability (FOC) in September 2019.? The LSCMS Program has demonstrated an extensive history of making new and innovative functionality and capability improvements based on business needs and user feedback.?
For survey conducted in the spring of 2023 for the 2022 calendar year, the LSCMS Program received a 4.2 overall score, improving last year?s overall score of 4.1. Increased scores are evident in two of the three major categories: Training scored a 4.3, improving last year?s 4.2 and Help Desk scored a 4.3, improving last year?s 4.2.? System Functionality no change from 3.9. Also, three of the four categories (i.e., Overall Score, Training, and Help Desk) have reached the target goal of 4.0 or higher for 4 years consecutively.??
Currently, the LSCMS-C information system continues, and for the foreseeable future, to meet DHS and FEMA?s business and strategic goals and objectives.? LSCMS-C information system is a key element in supporting DHS Strategic Objective Plan 5.2, Responding to Incidents and the FEMA FY2022-FY2026 Strategic Plan Goal 3, to Posture FEMA to meet current and emergent threats.? The LSCMS Program continues to implement innovative functionality improvements and capabilities to improve system effectiveness and user experience.?
The LSCMS-C information system consistently meets or exceeds established operational performance measurement targets.? The information system continues to execute and reap the benefits of a successful operation and maintenance Managed Cloud Service Provider strategy.? The LSCMS Program projects Cloud hosting will offer even more future innovative Cloud centric technologies for the LSCMS-C information system to include migration to containerization in DevOps platform, full catastrophic resiliency and redundant Internet service provider Cloud access communication paths.
Next, the program is currently in the process of transitioning from using the DHS/TIC to the FEMA Cloud Access Point.","continue as-is","2023-08-30 00:15:46"
024,"Department of Homeland Security",55,024-000005363,"ICE - Student and Exchange Visitor Information System (SEVIS)",2020-07-21,"-  Customer Results: SEVIS is utilized as a critical national security database.  It originated as an immigration benefits tracking tool, but throughout its existence, it has been adapted to the ever-growing needs of its users.  It is now regarded as a primary resource for conducting threat analysis for counterterrorism and/or counterintelligence by the law enforcement and intelligence communities.  
-  Strategic and Business Results: In response to the 14 February 2013 DHS Acquisition Decision Memorandum, 35 functionalities were selected to help stabilize and partially mitigate known vulnerabilities to the system through standard O&M releases. The final release under this ADM was completed on 30 September 2016, at which point 75% of identified vulnerabilities had been closed. After the 2013 Boston Marathon bombing, ICE implemented an Admissibility Indicator service to enable CBP agents to quickly ascertain student visa status at primary inspection points.  In May of 2019, the DHS Acquisition Review Board determined that the program had sufficiently mitigated the remaining vulnerabilities through a combination of functional and process improvements, and the program received approval for Final Operating Capability (FOC) on May 29, 2019.
-  Financial Performance and Operational Performance Measures: The results of the Analysis of Alternatives were confirmed by the SEVIS Modernization Oversight Board on 4 January 2016. On a ten-year lifecycle starting FY2017, the approved modernization alternative will cost approx. 20% more than the maintenance of the legacy O&M system, and yield a 90% increase in operational effectiveness. This yields a life-cycle ROI of 57%. SEVIS has migrated fully to a cloud-hosted infrastructure, resulting in improved supportability and scalability with an anticipated reduction of overall infrastructure and maintenance costs. 
-  Innovation and Risk Analysis: SEVIS has migrated to the ICE cloud.  All SEVIS development contracts are issuedon a firm fixed-price basis, mandate Agile methodologies, and define limited-scope work, in order to effectively manage cost, schedule, and scope risks.","continue as-is","2021-09-29 14:42:07"
