agencyCode,agencyName,currentUII,investmentName,contractPIID,referencePIID,updatedTime
006,"Department of Commerce",006-000702300,"NIST IT Management",1333ND19PNB180289,1333ND19PNB180289,"2023-03-09 07:48:48"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23PNB180068,1333ND23PNB180068,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND21FNB180165,1333ND21FNB180165,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L521FNB180301,1331L521FNB180301,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21FNB180160,1333ND21FNB180160,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23FNB180062,1333ND23FNB180062,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22PNB180605,1333ND22PNB180605,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22PNB180031,1333ND22PNB180031,"2023-03-09 07:48:55"
006,"Department of Commerce",006-000052500,"Commerce IT Management (CIM)",1331L522F13OS0153,1331L522F13OS0153,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22FNB180006,1333ND22FNB180006,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000207600,"NTIS IT Security Office",1331L520C13420020,1331L520C13420020,"2023-03-14 07:11:40"
006,"Department of Commerce",006-000000046,"OS OFM Hyperion",NNG15SC07B,1331L522F13OS0527,"2023-03-09 07:59:32"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024",1333LB23F00000134,GS35F014BA,"2023-09-14 17:24:51"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L518F13OS0145,1331L518F13OS0145,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21PNB180146,1333ND21PNB180146,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000804900,"USPTO IT Security and Compliance (ITSC)",1333BJ19F00280038,P22009,"2023-02-22 07:01:12"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1331L521FNB180386,1331L521FNB180386,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1333ND20PNB180226,1333ND20PNB180226,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180234,1333ND22FNB180234,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000805200,"USPTO End User (EU)",1333BJ21F00284003,P22005,"2023-02-22 07:01:13"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L521FNB180348,1331L521FNB180348,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000040700,"OS OCR Management Systems (Formerly OS OCR iComplaints)",1331l521A13O20032,,"2023-03-14 07:07:43"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21FNB180086,1333ND21FNB180086,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180069,1333ND22FNB180069,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000133,"NIST Delivery (DEL)",1333ND19PNB180289,1333ND19PNB180289,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180201,1333ND22FNB180201,"2023-03-09 07:55:16"
006,"Department of Commerce",006-000041600,"Commerce Enterprise Services- Enabling Technology",1331L518F13ES0124,1331L521A13ES0015,"2023-03-30 07:25:59"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND19FNB180358,1333ND19FNB180358,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000035500,"Commerce IT Policy and Enterprise Technology (formerly Commerce Office of IT Policy and Planning OITPP)",1331L522F13OS0442,1331L522F13OS0442,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180393,1333ND22FNB180393,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND20PNB180259,1333ND20PNB180259,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180256,1333ND22FNB180256,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21FNB180215,1333ND21FNB180215,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180237,1333ND22FNB180237,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1331L523FNB180054,1331L523FNB180054,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L520F13OS0533,1331L520F13OS0533,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KQ21FNEEG0096,NNG15SC70B,"2023-07-27 07:49:12"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND19PNB180100,1333ND19PNB180100,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND22FNB180021,1333ND22FNB180021,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND22PNB180087,1333ND22PNB180087,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination",1305L219FNWWJ0377,1305L219FNWWJ0377,"2023-09-14 17:24:50"
006,"Department of Commerce",006-000000133,"NIST Delivery (DEL)",1333ND21FNB180098,1333ND21FNB180098,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180026,1333ND22FNB180026,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180373,1331L521FNB180373,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180006,1333ND22FNB180006,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000052500,"Commerce IT Management (CIM)",1331L521F13OS0145,1331L521F13OS0145,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND23FNB180053,1333ND23FNB180053,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21PNB180048,1333ND21PNB180048,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180264,1333ND22FNB180264,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KQ21FNEEG0095,NNG15SD48B,"2023-07-27 07:49:12"
006,"Department of Commerce",006-000041600,"Commerce Enterprise Services- Enabling Technology",1331L518F13ES0124,DOCSS130117BU0002,"2023-03-30 07:25:59"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND23PNB180097,1333ND23PNB180097,"2023-03-09 07:55:16"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180227,1333ND22FNB180227,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22FNB180149,1333ND22FNB180149,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000401500,"Census - Other Financial Management",1333LB21F00000257,,"2023-02-22 07:08:38"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21FNB180201,1333ND21FNB180201,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22FNB180261,1333ND22FNB180261,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND22FNB180022,1333ND22FNB180022,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000702500,"NIST IT Security",1333ND22FNB180088,1333ND22FNB180088,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180286,1331L521FNB180286,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180069,1333ND21FNB180069,"2023-03-09 07:48:55"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024",1333LB23C00000007,,"2023-06-27 07:31:37"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180001,1333ND22FNB180001,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180128,1333ND22FNB180128,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000207600,"NTIS IT Security Office",1331L522F13420164,1331L522F13420164,"2023-03-14 07:11:40"
006,"Department of Commerce",006-000702500,"NIST IT Security",1333ND22FNB180243,1333ND22FNB180243,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23FNB180057,1333ND23FNB180057,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180334,1333ND22FNB180334,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND19FNB180082,1333ND19FNB180082,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21PNB180195,1333ND21PNB180195,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination",EA133W17CQ0091,EA133W17CQ0091,"2023-07-27 07:49:08"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180210,1333ND22FNB180210,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000370600,"NOAA/NOAA/ N-WAVE (Network Report)",1331L519A13ES0039/1331L523FNAAJ0069,1331L519A13ES0039/1331L523FNAAJ0069,"2023-02-22 07:01:12"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L521FNB180163,1331L521FNB180163,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1331L522FNB180153,1331L522FNB180153,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000805200,"USPTO End User (EU)",1333BJ21F00002012,P22001,"2023-02-22 07:01:13"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS)."," 1332KP21DNEEB0011",1332KP23FNEEG0003,"2023-03-02 08:42:32"
006,"Department of Commerce",006-000702300,"NIST IT Management",1331L522FNB180253,1331L522FNB180253,"2023-03-09 07:48:48"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180082,1333ND22FNB180082,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22PNB180045,1333ND22PNB180045,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L521F13OS0279,1331L521F13OS0279,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L522FNB180208,1331L522FNB180208,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23FNB180094,1333ND23FNB180094,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180284,1333ND22FNB180284,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000000142,"NOAA/NOAA/ IT Infrastructure - Data Center & Cloud",GS35F513BA/1305M421ANAAA0039/1305M422FNAAJ0109,GS35F513BA/1305M421ANAAA0039/1305M422FNAAJ0109,"2023-02-22 07:01:12"
006,"Department of Commerce",006-000352100,"NOAA/NOAA/ NOAA IT Security (parent)",NNG15SD19B/1305L419FNAAJ0120,NNG15SD19B/1305L419FNAAJ0120,"2023-02-22 07:01:12"
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1331L522FNB180170,1331L522FNB180170,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180152,1333ND22FNB180152,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024",1333LB23F00000014,GS35F0161Y,"2023-06-27 07:31:37"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND23FNB180008,1333ND23FNB180008,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23FNB180058,1333ND23FNB180058,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND19FNB180371,1333ND19FNB180371,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000702500,"NIST IT Security",1333ND22FNB180028,1333ND22FNB180028,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21FNB180044,1333ND21FNB180044,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)",1333LB20F00000405,,"2023-03-14 07:13:34"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND19PNB180289,1333ND19PNB180289,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180092,1331L521FNB180092,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND22CNB180006,1333ND22CNB180006,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND20FNB180231,1333ND20FNB180231,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21FNB640429,1333ND21FNB640429,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)",YA1323-15-BU-0037,1333LB23F00000101,"2023-09-14 17:24:50"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180231,1333ND22FNB180231,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000207600,"NTIS IT Security Office",1331L522F13420515,1331L522F13420515,"2023-03-14 07:11:40"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22PNB180027,1333ND22PNB180027,"2023-03-09 07:55:16"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180069,1333ND21FNB180069,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KP22FNEEG0047,1305M421ANAAA0038,"2023-07-27 07:49:13"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21FNB180244,1333ND21FNB180244,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180368,1331L521FNB180368,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L521F13OS0279,1331L521F13OS0279,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180131,1333ND21FNB180131,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22PNB180413,1333ND22PNB180413,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180012,1333ND21FNB180012,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000352100,"NOAA/NOAA/ NOAA IT Security (parent)",1305M422CNAAJ0015,1305M422CNAAJ0015,"2023-02-27 08:10:57"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024",1331L523F13230130,,"2023-07-27 07:39:41"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21FNB180394,1333ND21FNB180394,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND23FNB180027,1333ND23FNB180027,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1331L522FNB180307,1331L522FNB180307,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND23FNB180091,1333ND23FNB180091,"2023-03-09 07:55:16"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21PNB180077,1333ND21PNB180077,"2023-03-09 07:55:16"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KQ20FNEEG0011,NNG15SC62B,"2023-07-27 07:49:12"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180053,1333ND22FNB180053,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1333ND22FNB180094,1333ND22FNB180094,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180118,1333ND22FNB180118,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180350,1331L521FNB180350,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180371,1331L521FNB180371,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1331L521A13ES0040,1331L523FNEEG0137,"2023-07-27 07:49:13"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22FNB180184,1333ND22FNB180184,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L521F13OS0080,1331L521F13OS0080,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1333ND23FNB180074,1333ND23FNB180074,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND19FNB180389,1333ND19FNB180389,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line",1333BJ21F00280045,P23006,"2023-09-14 17:24:50"
006,"Department of Commerce",006-000702500,"NIST IT Security",1333ND23FNB180073,1333ND23FNB180073,"2023-03-09 07:48:50"
