agencyCode,agencyName,currentUII,investmentName,investmentType,ratedDate,cioRating,comment,latestIndicator,updatedTime
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","Major IT Investments",2022-05-31,4,"The OS OFM Commerce Business Systems (CBS) investment continues to provide an integrated financial management system that has been implemented throughout the Department of Commerce (DOC). Accomplishments G-Invoicing: Supported Bureau testing of the CBS code.  Unique Entity Identifier:  All code for the project was promoted to production for all Bureaus.  Go-Live took place on April 4, 2022. Progressing with some risk.",N,"2022-05-31 15:41:41"
006,"Department of Commerce",006-000404000,"Census - IT Security","Standard IT Investments",2022-10-20,4,"IT Security and Compliance Investment that provides services that set security policy, establishes processes & controls, monitors compliance to security controls and responds to security breaches. Investment is progressing as expected. ",N,"2022-10-20 17:26:52"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Major IT Investments",2023-03-29,4,"The BEA Estimation IT System encompasses BEA's core economic processing system, and directly supports BEA's mission.  This investment supports timely, accurate release of more than 60 critical economic estimates per year. The BEA-EITS for Measuring the Changing U.S. Economy supports production and dissemination of BEA's critical economic estimates as well as statistical confidentiality, including legal requirements. BEA is pursuing a Statistical Production Modernization program which seeks to simplify and modernize processes and tools by first completing business process reengineering and then updating. Accomplishments: Support the timely, relevant, and accurate release of three datasets (Gross Domestic Product, 4th Quarter and Year 2022, Personal Income and Outlays and Gross Domestic Product, 4th Quarter and Year 2022) measuring the U.S. economic activity. Completed installation of Office of the Chief Economist applications to Azure servers This investment is progressing as expected. ",N,"2023-03-31 14:48:42"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Major IT Investments",2023-06-27,3,"The Dissemination investment continues to be responsible for promoting increased accessibility, interoperability, and stewardship of NOAA data, leading, delivering, and coordinating NWS contribution to NOAA, DOC, and Administration data dissemination initiatives.  Notable Accomplishments: Successful Go Live of IRIS. Delivered mid-point Path Analysis presentation for Weather.gov 2.0. The investment is rated a 3 due to the risk profile and issues.",N,"2023-06-29 09:11:12"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Major IT Investments",2021-10-27,4,"The Patents Product Line investment continues to support the Patents business by creating additional products; retiring/decommissioning more legacy systems; and supporting Patents products operational activities.  Accomplishments: Patent Center: Trained over 13,000 users to date on how to file patent applications in DOCX format and the benefits of Patent Center.  PEC: Deployed available foreign collections in Search with over 72M documents with translations for Examiners. Finalized decommission activities in September 2021 for Electronic Business Center Imaging System (EBCIS) system. Patent Exam Center: Prepared initial deployment to Search users for Initial AI and machine learning-based search functionality that has been developed. Patent Business Management Information: Prepared for future retirement of Technical Analytical Forecasting (TAF) database.  Performing with programs risks. ",N,"2021-11-30 17:29:06"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",2021-11-30,3,"The BIS CUESS investment complements the export enforcement process in support of the single IT System for the Export Control Reform directive. Accomplishments:  BIS continues to collaborate with other agencies USXPORTS Release 13.16 for multi-agency reviews. BIS will be supporting the USXPORTS development for release 13.17 that improves the reliability and data efficiencies between CUESS and USXPORTS. BIS and the State Department continue to share data weekly in support of the recommendation from the GAO. Commerce Senior Agency Official for Privacy signed-off on the updated CUESS Privacy package. Rating is based on risks and inconsistent progress reporting.",N,"2021-11-30 18:38:20"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Major IT Investments",2022-11-28,4,"The Economic Censuses and Surveys program is a mixed life cycle investment and continues to support statistical programs that count and profile U.S. businesses and government organizations. ECON investment accomplishments include: DIPSE Redesign FY23 completed development of the Data Transfer Module and continued development of Establishment Add AOF module. Also implemented bug fixes based on QA and UAT testing. AIES/SPACE completed integration of data validation with rule engine endpoints and completed the ability to retrieve workflow from third-party appliance and completed variable type categorization.  AIES also completed response explorer search filter across variable types and control groups at any level. PSIP reviewed results from unit level imputation with legacy software for potential issues identified and resolution to set proper Collection Unit Source Code (CUSC) in prior years for imputation program.  The investment is executing as expected.",N,"2022-11-28 15:22:53"
006,"Department of Commerce",006-000400800,"Census - Field Support Systems","Non-major IT Investments",2021-09-28,5,"FSS continues to support the refreshing and maintaining of automated systems for data collection, tracking, and training for the critical current survey and decennial programs.  Continued activities for internal development and testing for CAPI refresh. For this month submission investment accomplished the following: FSS achieved above average results in the reported metrics for the Help Desk Ticket.  The monthly Data Delivery (Target 96%) was delivered on time.  Executed with above average results. ",N,"2021-11-30 18:38:21"
006,"Department of Commerce",006-000403800,"Census - IT Management","Standard IT Investments",2022-10-20,4,"The investment continues to support all resources for IT Management and Strategic Planning including CIO staff, the PMO, Capital Planning, IT Budget/Finance, Vendor/Contract Mgmt., General IT Policy, IT Governance & other IT management that is not in other major investments. Investment is progressing as expected.",N,"2022-10-20 17:26:51"
006,"Department of Commerce",006-000801300,"USPTO OCIO Program Governance and Support Services (PGSS)","Standard IT Investments",2022-10-21,4,"This investment continues to address the administrative activities required for smooth running of the USPTO s Office of the Chief Information Officer (OCIO) in the areas of administration, management, establishing and enforcing policies, procedures, and standards. Started High Value Asset Micro-segmentation Lite for HVAs to be retired or moved to the cloud. Installed MyUSPTO Segmentation rules in Dev, FQT and partial PVT blue/green environment. blue pending and green completed.  The investment is progressing as expected. ",N,"2022-10-24 11:57:07"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","Major IT Investments",2023-02-27,3,"The BAS program continues to modernize the Department's financial management, acquisition, and property systems.  Accomplishments: Sunflower: Began UAT for Sunflower O&M release. Core Applications - Continued to provide user support for early adopters. Continued Mock 3 data conversion while continuing Mock 2 in parallel. Data Warehouse - Conducted requirements gathering session with early adopters. Delivered reports to early adopters using staged data. Finalized outbound data service specifications and sample files. Continued bureau development of outbound data services. The program rating is based on replanning and risks. It continues to work through organizational change management risks and challenges to user adoption.",N,"2023-02-28 16:44:55"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Major IT Investments",2022-05-27,4,"The Economic Censuses and Surveys program is a mixed life cycle investment and continues to support statistical programs that count and profile U.S. businesses and government organizations. ECON investment accomplishments include: continuing with the DIPSE and TSAR Redesign updates. Project activities reported are continuing as planned and scheduled. The investment is executing as expected.",N,"2022-05-31 15:39:42"
006,"Department of Commerce",006-000000053,"OIG Data Center & Cloud","Standard IT Investments",2023-03-23,5,"This OIG investment continues to support the provisioning of enterprise-wide data center and/or cloud capabilities.  Investment is progressing as expected.",Y,"2023-03-23 17:02:08"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","Major IT Investments",2022-03-29,4,"The OS OFM Commerce Business Systems (CBS) investment continues to provide an integrated financial management system that has been implemented throughout the Department of Commerce (DOC). Accomplishments G-Invoicing: Continued functional testing. Unique Entity Identifier:  Supported bureau testing of CBS code and continued development and testing of issues as a result of Bureau testing. Progressing with some risk.",N,"2022-03-29 16:43:05"
006,"Department of Commerce",006-000000124,"Census - IT Delivery","Standard IT Investments",2023-03-21,4,"The investment continues to support the provisioning of an enterprise-wide shared delivery capability based on the definition of the TBM Delivery tower that includes enabling capabilities (e.g., Business Software).  Investment is progressing as expected. ",Y,"2023-03-23 15:54:30"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Major IT Investments",2022-04-27,2,"The BIS CUESS investment complements the export enforcement process in support of the single IT System for the Export Control Reform directive. Accomplishments: actively transmitting referral data to USXPORTS v13.16 including CCATS referrals and receiving the enhanced inter-agency positions.  Supports weekly transfers of BIS entity data to State Department (DOS) per the 2019 GAO recommendation. The BIS Automated Export System analytical data from CBP has been updated to the February baseline with 4.4m records. Completed deployment of the Entity watch list application to production and setup business users. Progressing with risks and reporting issues. ",N,"2022-05-03 12:14:47"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","Major IT Investments",2023-07-24,4,"The Geographic Support Program (GSP) investment supports the integrated and automated computer-based geographic support system crucial to all censuses and household surveys. The investment continues to provide the Census address list, maps, geographic reference files, and processing systems to meet the geographic requirements of all Census Bureau programs and operations. Accomplishments: Delivered Geographic Reference File Codes and Names test files and notified pre-identified customers. Delivered Master Address File Extract Test files and notified pre-identified customers. Census count on GSP to be able to accurately locate people and places for data collection. The investment is progressing with a risk exposure.",Y,"2023-07-31 07:28:34"
006,"Department of Commerce",006-000000089,"BIS Network (NET)","Standard IT Investments",2022-10-21,4,"This investment continues to support the provisioning of an enterprise-wide wide-area network (WAN), local-area network (LAN), and other network capabilities. BIS moderate is migrating over to the HCHB network. Investment is progressing as expected.
",N,"2022-10-24 11:01:27"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Major IT Investments",2022-04-27,4,"DICE continues with implementing a new way of doing business that focuses on minimizing redundancy, lowering complexity, and avoiding duplicative costs for the Census's business and household data ingest and collection operations.  DICE's accomplishments include: Developed Initial Cost estimate for AWS Cloud Data Storage for the DICE Program. QDM-started testing by Special Census program area. Finalized Privacy Impact Assessments for all DICE systems. Finalized milestone schedule for AIES survey and successfully onboarded Commodity Flow Survey (CFS) for eCORR. Investment is improving in reporting and is progressing in execution.  ",N,"2022-05-02 09:17:19"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Major IT Investments",2022-02-25,3,"The Patents Product Line investment continues to support the Patents business by creating additional products; retiring/decommissioning more legacy systems; and supporting Patents products operational activities. Accomplishments: Patent Center: Conducted additional training on how to file patent-related documents in DOCX format using Patent Center and EFS-Web. Trained 15,394 users. Patent Exam Center: 5,911 of the 8,700 Patent Examiners have been trained on the new Search tool. Commenced classes for TC 2900 in January 2022. Patent Administrative Center: Completed DevSecOps/CICD technical training to expedite implementation of automated deployment pipelines. Performing with programs risks.",N,"2022-03-03 07:52:44"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Major IT Investments",2023-01-24,4,"The CLASS program continues to efficiently manage high volumes (petabytes) of satellite and in situ data and automates data ingest, quality control and access.  CLASS is the designated primary archive for most of NOAA environmental data sets. CLASS accomplishments for this month include: Held data Operational Readiness Review with NCEI to support new processes to send data to CLASS Completed decommission of the CLASS node in Boulder, CO. Performance metrics: Added 22.3M new catalog files to the archive. All (100%) actual technical issue responses exceeded the 95% target of responding within 2 business days. Operational Avail - 98.68%.  The investment is executing as expected.",N,"2023-01-30 08:32:08"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Major IT Investments",2021-09-24,3,"Central Processing provides increased satellite network bandwidth, processing and storage capacity. Accomplishments: Customer Results: Network Availability: 99.99%; Satellite Master Ground Station Availability: 100%; Met 3 out of 3 performance metrics reported.  The investment continues to work on the impact of COVID-19 on AWIPS NAWIPS schedule and the WCOSS Transition delay.  ",N,"2021-09-29 11:15:30"
006,"Department of Commerce",006-000658000,"ITA IT Management","Standard IT Investments",2023-03-22,4,"This investment continues to support enterprise-level architecture and IT planning; strategic management of IT resources; formulation of IT policy and guidance; IT capital planning and investment, and IT sourcing.  Continued to improve enterprise architecture (EA) maturity level from 2 to 3 by developing a comprehensive, repeatable EA implementation framework for project delivery.  Launched an online Partner Portal managing funding approvals and status reports to increase transparency of budget formulation and execution.  This investment is progressing as expected. ",Y,"2023-03-23 15:56:18"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Major IT Investments",2021-11-30,4,"DICE continues with implementing a new way of doing business that focuses on minimizing redundancy, lowering complexity, and avoiding duplicative costs for the Census's business and household data ingest and collection operations.  DICE's accomplishments include: Conducted initial reconciliation of the DICE Operational Control and Electronic Data Collection Independent Cost Estimate and Program Office Estimate. Rating is based on the investment is still entering additional data.  ",N,"2021-12-06 14:02:31"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Major IT Investments",2021-10-27,4,"This investment continues to maintain all Trademark legacy components across the product line and is in the process of developing modernized business and technical solutions to further improve the delivery of business value.  USPTO is continuing to invest in the modernization and stabilization of all Trademark systems to ensure Trademark operations can continue to meet its performance goals. FY2021 Top Value Deliveries - Supported implementation of the mandated TEAS and TTAB fee rule changes. Completed the stabilization for the legacy systems FAST1, FAST2, TTABIS, ESTTA, and TTABVUE.  Developed a modernized TTAB Center homepage. Completed infrastructure updates to decommission all the 2003 and 2008 Windows servers. Soft launched of the Trademark Examination tool that provides all examining attorneys the full functionality of TM Exam or end to end examination. ",N,"2021-11-30 18:36:11"
006,"Department of Commerce",006-000000145,"NOAA/NOAA/ IT Infrastructure - Network","Standard IT Investments",2022-10-21,4,"This investment continues to support the provisioning of an
enterprise-wide wide-area network (WAN), local-area network (LAN), and other network capabilities. Investment is progressing with some risks due to the transition to EIS. 
",N,"2022-10-24 11:01:30"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Major IT Investments",2023-07-24,3,"The Dissemination investment continues to be responsible for promoting increased accessibility, interoperability, and stewardship of NOAA data, leading, delivering, and coordinating NWS contribution to NOAA, DOC, and Administration data dissemination initiatives.  Notable Accomplishments: Completed Ridge 2 Code Handoff. Completed deployment of NWS Internal users into NWSChat 2.0. Completed sunset of IDP-GIS and Redirect IDP-GIS to CloudGIS. Completed Weather.gov 2.0 Path Analysis. Go Live of GMDSS.  The investment is rated a 3 due to the risk profile and issues.",Y,"2023-07-31 07:16:16"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Major IT Investments",2023-02-24,4,"The Economic Censuses and Surveys program is a mixed life cycle investment and continues to support statistical programs that count and profile U.S. businesses and government organizations. ECON investment accomplishments include: The DIPSE Redesign prepared of Unit Acceptance Test (UAT) baseline documentation for Address History and completed SU Splitter.  The team also continued development of Prescreening System, Electronic Workflow Reports, Duplicate Review Display and Geocoding Referral Utility modules.  Lastly, DIPSE Redesign continued QA and UAT and bug fixes. The AIES/SPACE team enabled analyst to run end-to-end process and enabled different options for processing large data.  The team also Implement priority changes recommended by business team and completed the development for rules and grouping, detect rules conflicts. Lastly, DIPSE Redesign continued QA and UAT and bug fixes. The PSIP team completed Milestone 4 but upon completion of the initial review, EWD proposed changes to the cell definitions and applied the proposed changes to modify the cell definitions. The investment is executing as expected.",N,"2023-02-28 16:44:55"
006,"Department of Commerce",006-000000056,"BEA Data Center and Cloud (DCC)","Standard IT Investments",2022-10-20,5,"BEA continues to leverage smart cloud through continued implementation of FedRAMP commercial IaaS, and SaaS. BEA continues to migrate data, applications and services to the cloud to support increased redundancy, reduced latency, and elasticity in its critical production environment. Investment is progressing as expected. ",N,"2022-10-20 17:21:15"
006,"Department of Commerce",006-000000058,"Census - IT Network","Standard IT Investments",2021-09-29,5,"An IT investment for the provisioning of an enterprise-wide wide-area network (WAN), local-area network (LAN) and metropolitan-area network (MAN) capabilities. Investment is progressing as anticipated and continues to provide network support.",N,"2021-09-29 08:42:23"
006,"Department of Commerce",006-000207600,"NTIS IT Security Office","Standard IT Investments",2023-03-23,4,"This investment continues to support IT security, compliance, and disaster recovery. It includes definition, establishment, enforcement, and measurements for security, compliance, and disaster recovery readiness for the enterprise. The investment is progressing as expected.",Y,"2023-03-23 16:06:01"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",2022-11-28,3,"The Enterprise Product Line continues to manage all of the back-office operations including communicating with the public and employees, providing usable data collections and analytics, disseminating public records including assignment records, collecting fees, paying agency bills, supporting legal functions, providing HR capabilities, supporting budget and planning, and managing facilities and assets. Selected Accomplishments: decommissioned Legal Tools legacy e-Discovery Software Suite (EDSS), completion of a thorough strategic and tactical Data and Analytics roadmap via collaboration with Data Management Office stakeholders, and completion of numerous activities which enable teams to increase delivery better and faster to system end users.  Completed Assignments on the Web (AOTW) and Assignments Historical Database (AHD) server upgrades for legacy product. Completed upgrade of Executive Document Management System IQ 8.0 in production. Additional functionality was updated for employee feedback surveys about the USPTO Intranet (PTOWeb) homepage. HVA products were 100 percent highly available.  The investment continues to have legacy issues.  ",N,"2022-11-28 15:22:54"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",2021-11-30,4,"Enterprise Product Line continues to manage all of the back-office operations including communicating with the public and employees, providing usable data collections and analytics, disseminating public records including assignment records, collecting fees, paying agency bills, supporting legal functions, providing HR capabilities, supporting budget and planning, and managing facilities and assets. Accomplishments: Completed: RBAC to OKTA migration for EDMS, Concur, OEDIB, RSP, LMS and enhanced security and compatibility.  Delivery of 33% functionality for Certified Copy Center (CCC) to retire OEMS by 12/31/21.  Self Service Portal user interface prototype and developed initial reports for BDR.  ETIS development to enable patents organization to close PTES at 12/31 end of life. Automation of two fee management processes for cleanup of orphan records and daily monitoring. Development of De-Obligation Modification and Concur attachment BOTs.  Deployment of NOSPs 2.0 to production.",N,"2021-11-30 18:38:22"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Major IT Investments",2022-09-13,3,"Dissemination responsibility includes promoting increased accessibility, interoperability, and stewardship of NOAA data, leading, delivering, and coordinating NWS contribution to NOAA, DOC, and Administration data dissemination initiatives.  Notable Accomplishments:  Successfully completed National Viewer Release 1.3. Submitted weather.gov survey to OMB for approval. Began execution for NWSChat/Slack Implementation. Began evaluation of applications on NIDS to determine disposition to IDP, public cloud, or decommission. The investment is rated a 3 due to the risk profile and issues.",N,"2022-09-20 14:48:54"
006,"Department of Commerce",006-000000105,"NTIA - FirstNet Authority Network ","Standard IT Investments",2022-10-21,5,"FirstNet continues to lead the DOC with implementing IT innovations. FY2022 ends with several project completions. The Cloud Telephony project migrated the desk phone service to a cloud software solution. This enhanced mobility enables users to make and receive calls using laptops and tablets. FirstNet implemented the EIS requirement by transitioning the existing network contracts to the new DOC EIS contract that consolidates and improves current services and solutions.  The investment is progressing as expected. ",N,"2022-10-24 11:01:31"
006,"Department of Commerce",006-000732700,"NTIA - FirstNet Authority IT Management","Standard IT Investments",2022-10-21,4,"The investment continues to manage, administer and plan IT (services) for the enterprise including executive, management, strategic management, enterprise architecture, IT finance and vendor Management. In the closing of FY2022, the IT Management Investment resources focused on procurement and budget activities. 45 contracts were finalized and the FY2023 IT budget was compiled for the FirstNet Board approval. Progress continued to meet the Federal records management requirement with the hiring of a dedicated manager. During this period, 32 data calls were replied to. Also, the team supported the FirstNet CIO with the FITARA Information Technology Portfolio review and annual presentation. The investment is progressing as expected. ",N,"2022-10-24 11:01:30"
006,"Department of Commerce",006-000000083,"USPTO Platform (PL)","Standard IT Investments",2022-10-21,5,"The Platform investment continue to provide core objectives to define, implement, improve, and manage enterprise platform services as it relates to Database and middleware technologies.  Notable Achievements Include: Implementation of Global Data Services (Oracle load balancer) for four (4) production Patents databases making them highly available. Development of Continuous Integration/Continuous Delivery (CI/CD) pipeline, which includes compute and middleware stack provisioning in AWS Cloud. This enables Product teams to lift & shift on-premise workloads or new workloads into AWS Cloud.  The investment is progressing as expected. ",N,"2022-10-24 11:57:07"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Major IT Investments",2022-02-25,4,"Enterprise Product Line continues to manage all of the back-office operations including communicating with the public and employees, providing usable data collections and analytics, disseminating public records including assignment records, collecting fees, paying agency bills, supporting legal functions, providing HR capabilities, supporting budget and planning, and managing facilities and assets. Selected Accomplishments: Completed UX definition for PTO Web MVP. Completed upgrade of PTAS server operating systems. Completed RBAC to OKTA migration for OEDIS CORE, RSP, CCX Drupal for WWW and PTOWeb.  Completed Fee Management Product maintenance. Commenced Financial Manager upgrade to NG8 3 percent completed. Completed ITSM replacement with ServiceNow. Completed replacement and modernization of TDXF daily jobs which provides daily TM files to the public with BDR. Completed COOP upgrade on Windows 2016 servers.  Progressing with some reporting issues.",N,"2022-03-03 07:52:43"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","Major IT Investments",2023-03-29,4,"The Geographic Support Program (GSP) investment supports the integrated and automated computer-based geographic support system crucial to all censuses and household surveys. The investment continues to provide the Census address list, maps, geographic reference files, and processing systems to meet the geographic requirements of all Census Bureau programs and operations. Accomplishments: GSP continues to take necessary steps to ensure the U.S. Census Bureau is able to provide the most accurate and updated data by preparing for the completion of the Spring 23 Delivery Sequence File.  This includes Master Address File updating and QC Spring DSF Refresh ZIP3 run. The investment is progressing as expected.",N,"2023-03-31 14:48:43"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Major IT Investments",2022-04-27,4,"- CLASS is the designated primary archive for most of NOAA environmental data sets. CLASS accomplishments for this month include: Completed Release 8.3 implementation activities and promoted release to test environment, started Release 8.3 testing and successfully completed the Annual Continuity of Operations exercise in the cloud.  Performance metrics: Added 15.7M new catalog files to the archive in March, exceeding the 11M files target. All (100%) actual technical issue responses exceeded the 95% target of responding within 2 business days. The investment is executing as expected.",N,"2022-05-02 09:19:45"
006,"Department of Commerce",006-000000116,"NIST End User (EU)","Standard IT Investments",2021-09-28,5,"Investment is mature and well managed, risk is identified and managed, annual A&A is conducted including both security and privacy, continuous monitoring is performed, contractor performance is monitored, requirements are carefully managed, historical performance is considered and the right staff with the right skills are applied. ",N,"2022-03-03 08:29:26"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Major IT Investments",2022-10-19,4,"The CLASS program continues to efficiently manage high volumes (petabytes) of satellite and in situ data and automates data ingest, quality control and access.  CLASS is the designated primary archive for most of NOAA environmental data sets. CLASS accomplishments for this month include: Held data Operational Readiness Review with NCEI to support new processes to send data to CLASS Completed decommission of the CLASS node in Boulder, CO. Performance metrics: Added 20.88M new catalog files to the archive in September 2022 exceeding the 11M files target. The archive now has over 1 billion files. All (100%) actual technical issue responses exceeded the 95% target of responding within 2 business days. The investment is executing as expected.",N,"2022-10-20 17:08:16"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024","Major IT Investments",2023-03-29,4,"The 2030 Decennial investment covers the Design Selection Phase (FYs 2022 - 2024) for the 2030 Census.  The 2030 Census strategic goals are consistent with prior decennial census goals and include: 1) A Complete and Accurate Census, 2) Embraced and Trusted Results, 3) An Efficient and Effective Program, and 4) An Appropriately Sized, Skilled, and Structured Workforce. This investment is currently in the planning phase and is on target to meet all scheduled milestones identified to date.  Accomplishments: Design Selection Phase- Completed Activities and provision environments for project 44. Loaded Enumeration & Supplemental Nonresponse Follow Up (NRFU) Master Address File Extract (MAFX) to PostgreSQL Staging Table (DEV) (for CDAC). The investment is progressing as expected. ",N,"2023-03-31 14:48:42"
006,"Department of Commerce",006-000000069,"NTIA Network (NET)","Standard IT Investments",2022-10-21,4,"This investment continues to support the provisioning of an
enterprise-wide wide-area network (WAN), local-area network (LAN), and other network capabilities. Investment is progressing with some risk. 
",N,"2022-10-24 11:01:31"
