agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Meet with business users divisional representatives to prioritize Export Enforcement and Export Administration Sprint targets. Identify and prioritize specific monthly cost plan, tasks and activities to be worked on.","Financial Performance",Quantity,Monthly,4,"Over target",5,,2023-06-30,6,MET,false,"2023-07-27 07:37:47"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Average number of licenses validated in CUESS per week assessed on a quarterly basis","Customer Satisfaction",Numeric,Quarterly,825,"Over target",1250,,2023-07-02,1241,"NOT MET",false,"2023-07-27 07:37:52"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Annual testing of the Program/Agency Contingency Plan before 9/30","Strategic and Business Results",Number,Annual,1,"Over target",1,,2022-10-26,1,MET,false,"2023-01-30 14:14:07"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Number of All Work item registrations (Export, Re-export, MCD, AGR, SCL, CCATS, encryptions).","Customer Satisfaction",Number,Quarterly,15000,"Over target",16000,,2023-07-02,16137,MET,false,"2023-07-27 07:37:52"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","BIS export licensing value through the CUESS system based on Census data for the prior fiscal year. Non-exception only.","Financial Performance","Billions of dollars",Annual,15,"Over target",7.5,,2021-09-30,7.4,N/A,false,"2022-10-04 11:11:12"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Conduct SOC vulnerability scanning and monitoring review monthly","Strategic and Business Results",Number,Monthly,1,"Over target",1,,2023-06-30,6,MET,false,"2023-07-27 07:37:46"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Integrating data from multiple data source systems in to a single data platform. ","Strategic and Business Results",Percentage,Quarterly,95,"Over target",95,,,,,false,"2022-10-26 12:43:18"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","EDL core system is functional and available 90% of the time, assuming all Census networks out of the control of EDL are available
","Strategic and Business Results",Percentage,Monthly,90,"Over target",90,90,2023-07-31,100,MET,false,"2023-09-14 17:21:45"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)","Release ACS 1 and 5-year data products by end of fiscal year.","Strategic and Business Results",Percentage,Semi-Annual,99,"Over target",99,99,2023-03-31,100,MET,false,"2023-04-26 09:12:31"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)","ACS implemented a new cost efficiency measure to track cost savings associated with preventing questionnaire package deliveries to housing units identified as undeliverable as addressed (i.e. incorrect, incomplete, or illegible.)","Financial Performance",Dollar,Monthly,0,"Over target",5000,5000,2023-07-31,17780,MET,false,"2023-09-14 17:21:42"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Number of Onboarding and Customer Agreements completed for DICE ","Customer Satisfaction",Number,Annual,2,"Over target",5,13,,,,false,"2023-09-14 17:21:36"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","data.census.gov uptime","Customer Satisfaction",Percentage,Monthly,99,"Over target",99,99,2023-08-31,99.99,MET,false,"2023-09-14 17:21:43"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","YK2.1 rating","Strategic and Business Results",Number,Quarterly,90,"Over target",90,90,2023-06-30,78,"NOT MET",false,"2023-07-27 07:39:47"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","Number of Features completed and deployed","Strategic and Business Results",Number,Quarterly,10,"Over target",15,15,2023-06-30,31,MET,false,"2023-07-27 07:39:46"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)","Supplemental 1-year estimates for places of 20,000 or more","Customer Satisfaction",Percentage,Quarterly,99,"Over target",99,99,2023-06-30,99,MET,false,"2023-07-27 07:39:45"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)","Response Rate for ACS.","Strategic and Business Results",Percentage,Quarterly,90,"Over target",90,90,2023-06-30,84.1,"NOT MET",false,"2023-07-27 07:39:45"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)","The percentage of ACS self-respondents that use the Internet mode to respond to their survey.","Strategic and Business Results",Percentage,Monthly,50,"Over target",50,50,2023-07-31,77,MET,false,"2023-09-14 17:21:44"
006,"Department of Commerce",006-000400100,"Census - American Community Survey (ACS)","Integration of Internet, paper, and CAPI response data in the data processing systems","Strategic and Business Results",Percentage,Monthly,99,"Over target",99,99,2023-07-31,99,MET,false,"2023-09-14 17:21:43"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","Program data was disseminated on time to meet customer requirement","Strategic and Business Results",Percentage,Monthly,100,"Over target",75,75,2023-08-31,96,MET,false,"2023-09-14 17:21:44"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","Score provided by the Usability Lab","Customer Satisfaction",Percentage,Quarterly,35,"Over target",60,60,2023-06-30,69.6,MET,false,"2023-07-27 07:39:45"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","Achievement of an unqualified audit opinion for the annual financial system audit.","Strategic and Business Results","Yes (1) or No (0)",Annual,1,"Over target",1,1,,,,false,"2023-09-14 17:21:56"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Maintain a target docket size for eligible examiners (at least as many hours of work as prescribed by their target docket size).  [Measures P-STAR's reliability, accuracy and ability to complete their weekly runs]
Percentage of eligible examiners with a target docket size
At least 97% of eligible examiners have a docket size meeting their docket size target assigned by management","Strategic and Business Results","Percentage of examiners with a target docket size",Monthly,94,"Over target",97,99,2023-08-31,95.88,"NOT MET",false,"2023-09-14 17:22:11"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","80% of address files acquired and intended for MAF update, are matched to the MAF within 180 days of receipt.","Strategic and Business Results",Percent,Annual,80,"Over target",80,80,,,,false,"2023-09-14 17:21:48"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Information is highly available on-demand for analysis.","Strategic and Business Results","Percentage ",Quarterly,99,"Over target",99,,,,,false,"2022-10-26 12:43:19"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","RBAC to OKTA migration for Trademark Product Group components","Strategic and Business Results",Percentage,Annual,0,"Over target",0,,,,,false,"2022-10-06 11:16:14"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","NWS Internet Dissemination System (NIDS) to have an average response time to customer requests of 2 seconds or less(includes following sites: NIDS Alerts, NIDS Digital, NIDS Forecast, NIDS Graphical, NIDS Radar, NIDS WWW)","Customer Satisfaction",Seconds,Quarterly,2,"Under target",2,2,2023-06-30,0.481,MET,false,"2023-07-27 07:49:13"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","NWR transmitter network availability 96% or better","Strategic and Business Results",Percentage,Monthly,96,"Over target",96,96,2023-08-31,98.12,MET,false,"2023-09-14 17:22:01"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","IDP operational availability 99% or greater","Strategic and Business Results",Percentage,Quarterly,99,"Over target",97,97,2023-06-30,98.65,MET,false,"2023-07-27 07:49:12"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Successful full migration of planned DICE Systems to the Cloud",Innovation,Number,Annual,2,"Over target",2,2,,,,false,"2023-09-14 17:21:36"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Measurement is internal/external customer satisfaction >80% favorable or neutral","Customer Satisfaction",Qualitative,Annual,80,"Over target",80,85,2022-09-30,80,MET,false,"2022-10-20 08:51:39"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","The percentage of uptime for the Satellite Broadcast Network Master Ground Station.","Strategic and Business Results",Percent,Monthly,99.95,"Over target",99.95,99.95,2023-07-31,100,MET,false,"2023-09-14 17:22:00"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","The percentage of times that the Network Control Facility restores service in under 4 minutes based on a user ticket during critical weather.","Customer Satisfaction",Percent,Monthly,90,"Over target",90,90,2023-07-31,97.51,MET,false,"2023-09-14 17:22:03"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","The percentage of times that the Network Control Facility restores service in under 10 minutes based on a user ticket during non-critical weather.","Customer Satisfaction",Percent,Monthly,95,"Over target",95,95,2023-07-31,98.19,MET,false,"2023-09-14 17:22:04"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","Amount of time systems are available for use without unplanned downtime.","Strategic and Business Results",Percent,Monthly,98,"Over target",98,98,2023-08-31,100,MET,false,"2023-09-14 17:22:01"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","The percentage of CLASS system up-time and availability for users is to exceed 95% each month.  ","Strategic and Business Results","Operational Availability (Percentage of up-time)",Monthly,95,"Over target",95,95,2023-08-31,97.07,MET,false,"2023-09-14 17:22:01"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Amount of environmental data added to the CLASS Archive each month is to exceed 11 million files. ","Strategic and Business Results","New data files in the archive catalog(in Millions)",Monthly,11,"Over target",11,11,2023-08-31,16.7,MET,false,"2023-09-14 17:22:00"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Percent of time that the NCEP Production Suite generates results within 15 minutes of target completion time.","Strategic and Business Results",Percent,Monthly,99,"Over target",99,99,2023-08-31,99.73,MET,false,"2023-09-14 17:22:06"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Percent of time operational system is available.","Strategic and Business Results","Percent (%)",Monthly,99.9,"Over target",99.9,99.9,2023-08-31,99.91,MET,false,"2023-09-14 17:22:05"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","Develop and publish an annual report to the Federal Geographic Data Committee on the Governmental Units and Address Themes by 9/30/2022.","Strategic and Business Results",Percent,Annual,85,"Over target",85,85,,,,false,"2023-09-14 17:21:48"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","The target level of overall customer satisfaction provided when asked to rate the service level of the BAS Program Help Desk.","Customer Satisfaction","Rating Scale 1 - 5",Annual,4,"Over target",4,4,,,,false,"2023-09-14 17:21:56"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Annual Cost per Terabyte of Data Archived must be reduced from prior year by 5%. ","Financial Performance",Percent,Annual,5,"Over target",5,5,2022-09-30,24,MET,false,"2022-10-04 08:30:17"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","How often 95% of all CLASS customer requests for information are addressed or routed to subject matter experts within two business days of receiving the request.","Customer Satisfaction",Percent,Monthly,97,"Over target",97,97,2023-08-31,100,MET,false,"2023-09-14 17:22:03"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","The volume of environmental data delivered to NOAA customers is to exceed four (4) petabytes per year. ","Strategic and Business Results",petabytes,Annual,4,"Over target",4,4,2022-09-30,8.25,MET,false,"2022-10-04 08:30:18"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Number of unplanned CLASS system outage incidents must be less than six (6) each month.  Excludes outages due to loss of power or because of external or environmental factors.","Strategic and Business Results","unit number",Monthly,6,"Under target",6,6,2023-08-31,3,MET,false,"2023-09-14 17:22:02"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Percent of scheduled press releases completed on time.","Strategic and Business Results",%,Quarterly,95,"Over target",100,100,2023-06-30,100,MET,false,"2023-07-27 07:32:23"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Percent of planned Operational IT Plan initiatives completed on time.","Strategic and Business Results",%,Quarterly,90,"Over target",90,90,2023-06-30,100,MET,false,"2023-07-27 07:32:22"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Availability of the BEA Network that supports BEA-EITS investment based on bandwidth and up time.","Strategic and Business Results",%,Monthly,99.5,"Over target",99.5,99.5,2023-08-12,100,MET,false,"2023-09-14 17:21:40"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Customer satisfaction as measured on a 5 point scale with 5 being the highest satisfaction score. Scores are based on independent customer satisfaction surveys performed by outside consultants. Satisfaction surveys provided by the Communications Division.","Customer Satisfaction",Score,Quarterly,3,"Over target",4,4,2023-07-31,4.1,MET,false,"2023-09-14 17:21:41"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","The Bureau's IT O&M budget divided by total storage in TB.  Our goal is to achieve continually decreasing data processing costs, or costs to capture, store, analyze, report, and disseminate data.","Financial Performance","Thousands of dollars",Annual,95,"Under target",90,,,,,false,"2022-10-06 11:16:05"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Cost per teraflop of R&D HPC. This includes all of the costs, including hardware, power, facility,  and labor.","Financial Performance",$/TF,Annual,7.096,"Under target",8,8,2022-09-30,6.455,MET,false,"2022-10-05 08:21:36"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Fairmont HPC System Availability","Customer Satisfaction",Percentage,Monthly,96,"Over target",96,96,2023-08-31,99.07,MET,false,"2023-09-14 17:22:07"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Climate: Number of regional scale projections for assessments & decision support","Strategic and Business Results","Number of Projections",Semi-Annual,3,"Over target",3,3,2023-03-31,3,MET,false,"2023-04-26 10:48:54"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Climate: Cumulative number of new decadal prototype forecasts and predictions made with high-resolution coupled climate model","Strategic and Business Results","Number of Forecasts",Semi-Annual,3,"Over target",3,3,2023-03-31,3,MET,false,"2023-04-26 10:48:57"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Computational Hours made available to users (in Millions)","Customer Satisfaction","millions of hrs per month",Monthly,101.675,"Over target",180,385,2023-08-31,406.369,MET,false,"2023-09-14 17:22:10"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","HPC Data Availability","Strategic and Business Results",Percentage,Monthly,99,"Over target",99,99,2023-08-31,100,MET,false,"2023-09-14 17:22:09"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Improved treatment of key physical processes in climate models aimed at improving: model performance, understanding of uncertainties, and confidence in climate change projections and predictions.","Customer Satisfaction","Number of improvements",Semi-Annual,3,"Over target",3,3,2023-03-31,3,MET,false,"2023-04-26 10:48:57"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","Percentage uncertainty in possible 21st century sea level rise (0-1m = 100% uncertainty)","Customer Satisfaction","percentage (%)",Semi-Annual,75,"Under target",75,75,2023-03-31,75,MET,false,"2023-04-26 10:48:58"
006,"Department of Commerce",006-000380400,"NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)","ORNL HPC System Availibility","Customer Satisfaction",Percentage,Monthly,96,"Over target",96,96,2023-08-31,99.29,MET,false,"2023-09-14 17:22:11"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Ensure the availability of the system so that users can reliably access needed data.
","Strategic and Business Results","Percentage of availability of the PBCMS",Quarterly,99,"Under target",99,,2022-09-30,99.36,MET,false,"2022-10-20 08:51:43"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","The total expected ticket resolution time (from ticket open to ticket closure / resolution) for the High Priority tickets opened with the BAS Program Help Desk.  These tickets are defined as ""broken in production"" where operations cannot continue without a resolution.","Strategic and Business Results",Days,Monthly,2,"Under target",2,2,2023-08-31,0.5,MET,false,"2023-09-14 17:22:02"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","DICE Planned Cloud Environments Deployed","Strategic and Business Results",Number,Quarterly,12,"Over target",3,4,2023-06-30,3,MET,false,"2023-07-27 08:28:59"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Number of Features completed and deployed","Strategic and Business Results","Number ",Quarterly,10,"Over target",10,,,,,false,"2022-10-26 12:43:18"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Roll out TEAS Login ID proofing and sponsorship tool to all public users in FY22","Strategic and Business Results",Percentage,Annual,99,"Over target",0,,,,,false,"2022-10-06 11:16:15"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Ensure stakeholder satisfaction with CPC tools (Classification allocation tool, Collaborative environment, challenges, etc.) for maintaining, quality assurance, and routing.
Greater than 3 
Customer satisfaction rating scale  of 1 (not satisfactory) to 5 (very satisfied)
","Customer Satisfaction","Number - Customer satisfaction rating",Quarterly,3,"Over target",3,3,2023-06-30,4,MET,false,"2023-07-31 07:48:57"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","The majority of tasks planned to complete at the beginning of a sprint are completed within that sprint
","Strategic and Business Results",Percentage,Quarterly,65,"Over target",65,65,2023-06-30,82,MET,false,"2023-07-27 07:43:52"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Legacy System Retired","Strategic and Business Results",Percent,Annual,5,"Over target",5,10,,,,false,"2023-09-14 17:21:39"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Redeploy TMPL systems to the cloud - Chatbot (TM), TM-COM, TSDR, TM Exam, CMS, TESS/XSearch replacement, TTAB Center","Strategic and Business Results","Unit count",Annual,2,"Under target",2,,2022-09-30,3,MET,false,"2022-10-24 10:05:50"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","The total expected ticket resolution time (from ticket open to ticket closure / resolution) for the BAS Program Help Desk; tickets escalated to vendor.","Strategic and Business Results",Days,Quarterly,8,"Under target",8,8,2023-06-30,4,MET,false,"2023-07-27 07:51:56"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Move Search users from internal on premises platform to the cloud platform.
All (>99%) Search users based in the cloud.","Strategic and Business Results","Number of users",Annual,99,"Under target",99,,,,,false,"2022-11-22 11:02:36"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Optimize the performance of EventHub to enhance productivity and user experience.
Receiving and complete processing within 31 minutes for 98% of all submissions except for submission requiring manual intervention.","Strategic and Business Results",Minutes,Quarterly,30,"Under target",31,,2023-06-30,5,MET,false,"2023-07-31 07:48:56"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","System Availability:  No more than 8 hours of unscheduled downtime during core hours per year - Measure availability of core financial system to bureau customers","Strategic and Business Results",Percent,Monthly,98,"Over target",98,99,2023-08-31,99.7,MET,false,"2023-09-14 17:22:15"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","Annual Financial System Cost per User","Financial Performance",Dollars,Annual,6.885,"Under target",6.885,6.885,2022-09-30,8.001,"NOT MET",false,"2023-03-28 15:52:44"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Develop and deploy the functionality to support the Trademark Modernization Act (TMA) Phase 2 - External, TTAB, Exam","Strategic and Business Results",Percentage,Annual,100,"Over target",100,,,,,false,"2022-10-24 10:05:47"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Implement Trademark investigative case management software into production to assist STIA with mitigating Trademark fraud","Customer Satisfaction",Percentage,Annual,99,"Over target",0,,,,,false,"2022-10-06 11:16:14"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","DICE Planned Surveys Deployed ","Strategic and Business Results",Number,Annual,3,"Over target",3,13,,,,false,"2023-09-14 17:21:36"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Develop the IT Road Map for the Economic Directorate, which includes a Transition Plan and a Solution Architecture Document detailing the technology standards for the Directorate.","Strategic and Business Results",Percentage,Quarterly,90,"Over target",90,90,2023-06-30,90,MET,false,"2023-07-27 07:43:52"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Complete all required assessments for new applications and major re-designs for processing of IT systems to ensure continued availability.","Strategic and Business Results",Percentage,Quarterly,0,"Over target",95,95,2023-06-30,95,MET,false,"2023-07-27 07:43:56"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Help Desk incident tickets that are resolved within a monthly timeframe.","Customer Satisfaction",Percentage,Monthly,95,"Over target",95,95,2023-08-31,95,MET,false,"2023-09-14 17:21:51"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Data products from key surveys released on schedule","Strategic and Business Results",Percentage,Monthly,100,"Over target",95,95,2023-08-31,95,MET,false,"2023-09-14 17:21:50"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Complete development of TM Common Services to retire TRAM","Strategic and Business Results",Percentage,Annual,100,"Over target",100,,,,,false,"2022-10-24 10:05:48"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","FY24 Prompt Payment Goal - prompt payment of DOC accounts payable.","Strategic and Business Results",Percent,Quarterly,98,"Over target",98,98,,,,false,"2023-09-14 17:22:12"
006,"Department of Commerce",006-000400700,"Census - Economic Census and Surveys","Monthly export statistics released on schedule.","Strategic and Business Results",Percentage,Monthly,0,"Over target",100,100,2023-08-31,100,MET,false,"2023-09-14 17:21:49"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Percent variance of actual costs from planned costs.","Financial Performance",Percentage,Annual,8,"Under target",8,,,,,false,"2022-10-26 12:43:18"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","To ensure adequate security throughout the product life-cycle via the remediation of Critical and High  vulnerabilities in high value assets discovered for products already in production","Strategic and Business Results","# of POAMS ",Monthly,100,"Over target",99.9,,2023-02-28,100,MET,false,"2023-04-11 16:00:09"
006,"Department of Commerce",006-000000129,"BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.","Ticket Resolution Cost is calculated by taking the operating cost of the service/help desk and dividing it by ticket volume.","Financial Performance","Dollars in thousands",Annual,519,"Under target",475.76,435.85,2022-09-30,519.41,MET,false,"2022-10-25 11:50:25"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","The ability of a system to operate continuously without failing for a designated period of time.","Strategic and Business Results","% Uptime",Monthly,98,"Over target",99,99.5,2023-09-01,99.26,MET,false,"2023-09-14 17:22:12"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Percentage of overall OneNWS Network availability		","Strategic and Business Results","Percentage of Network availability by AceInfo		",Monthly,99.9,"Over target",99.9,99.9,2023-08-31,99.92,MET,false,"2023-09-14 17:22:04"
006,"Department of Commerce",006-000000135,"Census - Data Ingest and Collection for the Enterprise (DICE)","Identifed features completed and accepted [DICE] ","Strategic and Business Results",Number,Monthly,36,"Over target",17,20,2023-08-31,57,MET,false,"2023-09-14 17:21:41"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","(000K) Manage expenditures for USXPORTS support services. Displayed in Thousands of Dollars (e.g. 1 = $1000)","Financial Performance","Thousands of Dollars",Monthly,64,"Under target",70,,2023-06-30,58,MET,false,"2023-07-27 07:37:49"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","FY23 Prompt Payment Goal - prompt payment of DOC accounts payable.","Strategic and Business Results",Percent,Quarterly,98,"Over target",98,98,2023-06-30,98.91,MET,false,"2023-07-27 07:51:57"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","Number of hours from submission of help desk ticket to acknowledgement of ticket by help desk technician.","Customer Satisfaction",hours,Quarterly,4,"Under target",4,4,2023-06-30,4,MET,false,"2023-07-27 07:51:58"
