agencyCode,agencyName,budgetAccountCode,budgetAccountName,fiscalYear,fundingType,amount
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2020,"CIO Authority",0
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2020,"Budget Authority",0
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2020,"Funding Total",0.619811
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2020,"CIO Authority",0
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2020,"Budget Authority",0
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2020,"Funding Total",34.96109
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2020,"Funding Total",0.503598
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2020,"CIO Authority",0
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2020,"Budget Authority",0
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2020,"Funding Total",3.9569
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2020,"CIO Authority",0
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2020,"Budget Authority",0
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2020,"Funding Total",61.864553
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2020,"CIO Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2020,"Budget Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2020,"Funding Total",0.323336
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2020,"CIO Authority",0
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2020,"Budget Authority",0
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2020,"Funding Total",535.790145
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2020,"CIO Authority",0
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2020,"Budget Authority",0
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2020,"Funding Total",22.297
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2020,"Funding Total",9.035678
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2020,"CIO Authority",0
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2020,"Budget Authority",0
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2020,"Funding Total",32.052
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2020,"CIO Authority",0
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2020,"Budget Authority",0
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2020,"Funding Total",20.188148
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2020,"CIO Authority",0
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2020,"Budget Authority",0
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2020,"Funding Total",118.500962
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2020,"Funding Total",10.923619
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2020,"CIO Authority",0
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2020,"Budget Authority",0
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2020,"Funding Total",0.089
006,"Department of Commerce",006-60-0554-9,"Broadband Technology Opportunities Program, Recovery Act",2020,"CIO Authority",0
006,"Department of Commerce",006-60-0554-9,"Broadband Technology Opportunities Program, Recovery Act",2020,"Budget Authority",0
006,"Department of Commerce",006-60-0554-9,"Broadband Technology Opportunities Program, Recovery Act",2020,"Funding Total",0.001736
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2020,"Funding Total",21.970927
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2020,"CIO Authority",0
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2020,"Budget Authority",0
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2020,"Funding Total",9.726899
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2020,"CIO Authority",0
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2020,"Budget Authority",0
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2020,"Funding Total",86.487292
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2021,"CIO Authority",0
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2021,"Budget Authority",0
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2021,"Funding Total",0.808852
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2021,"CIO Authority",0
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2021,"Budget Authority",0
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2021,"Funding Total",3.8277
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2021,"CIO Authority",0
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2021,"Budget Authority",0
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2021,"Funding Total",14.109385
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2021,"CIO Authority",0
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2021,"Budget Authority",0
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2021,"Funding Total",86.87876
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2021,"CIO Authority",0
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2021,"Budget Authority",0
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2021,"Funding Total",36.719331
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2021,"Funding Total",25.813781
006,"Department of Commerce",006-60-0554-9,"Broadband Technology Opportunities Program, Recovery Act",2021,"CIO Authority",0
006,"Department of Commerce",006-60-0554-9,"Broadband Technology Opportunities Program, Recovery Act",2021,"Budget Authority",0
006,"Department of Commerce",006-60-0554-9,"Broadband Technology Opportunities Program, Recovery Act",2021,"Funding Total",0.001799
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2021,"Funding Total",11.22169
006,"Department of Commerce",006-60-4358-0,"Network Construction Fund",2021,"CIO Authority",0
006,"Department of Commerce",006-60-4358-0,"Network Construction Fund",2021,"Budget Authority",0
006,"Department of Commerce",006-60-4358-0,"Network Construction Fund",2021,"Funding Total",8.0E-6
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2021,"CIO Authority",0
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2021,"Budget Authority",0
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2021,"Funding Total",608.542585
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2021,"CIO Authority",0
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2021,"Budget Authority",0
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2021,"Funding Total",87.741781
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2021,"Funding Total",24.074304
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2021,"CIO Authority",0
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2021,"Budget Authority",0
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2021,"Funding Total",20.849
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2021,"CIO Authority",0
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2021,"Budget Authority",0
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2021,"Funding Total",65.619975
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2021,"Funding Total",8.030551
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2021,"Funding Total",717.303491
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2021,"Funding Total",0.07506
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2021,"CIO Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2021,"Budget Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2021,"Funding Total",0.336134
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2021,"CIO Authority",0
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2021,"Budget Authority",0
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2021,"Funding Total",3.301133
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2021,"CIO Authority",0
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2021,"Budget Authority",0
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2021,"Funding Total",331.555011
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2021,"CIO Authority",0
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2021,"Budget Authority",0
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2021,"Funding Total",7.31495
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2021,"CIO Authority",0
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2021,"Budget Authority",0
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2021,"Funding Total",1.849978
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2021,"CIO Authority",0
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2021,"Budget Authority",0
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2021,"Funding Total",2.818584
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2021,"CIO Authority",0
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2021,"Budget Authority",0
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2021,"Funding Total",20.593384
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2021,"CIO Authority",0
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2021,"Budget Authority",0
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2021,"Funding Total",131.669008
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2021,"CIO Authority",0
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2021,"Budget Authority",0
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2021,"Funding Total",590.920433
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2021,"CIO Authority",0
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2021,"Budget Authority",0
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2021,"Funding Total",32.052
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2022,"CIO Authority",0
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2022,"Budget Authority",0
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2022,"Funding Total",98.952825
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2022,"Funding Total",32.052
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2022,"Funding Total",5.94
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2022,"Funding Total",318.27513
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2022,"CIO Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2022,"Budget Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2022,"Funding Total",3.566663
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2022,"Funding Total",0.069003
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2022,"Funding Total",112.772124
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2022,"CIO Authority",0
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2022,"Budget Authority",0
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2022,"Funding Total",13.998073
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2022,"CIO Authority",0
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2022,"Budget Authority",0
006,"Department of Commerce",006-55-0525-0,"Industrial Technology Services",2022,"Funding Total",0.82384
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0120-0,"Salaries and Expenses",2022,"Funding Total",38.144405
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2022,"CIO Authority",0
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2022,"Budget Authority",0
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2022,"Funding Total",369.423088
006,"Department of Commerce",006-05-0133-0,"Nonrecurring Expenses Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0133-0,"Nonrecurring Expenses Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0133-0,"Nonrecurring Expenses Fund",2022,"Funding Total",21.429248
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2022,"CIO Authority",0
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2022,"Budget Authority",0
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2022,"Funding Total",30.043345
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2022,"Funding Total",2.020302
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2022,"CIO Authority",0
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2022,"Budget Authority",0
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2022,"Funding Total",22.897009
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2022,"CIO Authority",0
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2022,"Budget Authority",0
006,"Department of Commerce",006-55-0515-0,"Construction of Research Facilities",2022,"Funding Total",9.261613
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2022,"Funding Total",712.24816
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2022,"CIO Authority",0
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2022,"Budget Authority",0
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2022,"Funding Total",3.252636
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2022,"Funding Total",12.483572
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2022,"CIO Authority",0
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2022,"Budget Authority",0
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2022,"Funding Total",130
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-08-1500-0,"Salaries and Expenses",2022,"Funding Total",26.572267
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-55-4650-0,"Working Capital Fund",2022,"Funding Total",22.191038
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2022,"CIO Authority",0
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2022,"Budget Authority",0
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2022,"Funding Total",69.548727
006,"Department of Commerce",006-48-1460-9,"Procurement, Acquisition and Construction",2022,"CIO Authority",0
006,"Department of Commerce",006-48-1460-9,"Procurement, Acquisition and Construction",2022,"Budget Authority",0
006,"Department of Commerce",006-48-1460-9,"Procurement, Acquisition and Construction",2022,"Funding Total",0.553799
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2022,"Funding Total",24.191725
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2022,"CIO Authority",0
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2022,"Budget Authority",0
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2022,"Funding Total",88.364848
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2022,"CIO Authority",0
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2022,"Budget Authority",0
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2022,"Funding Total",579.137524
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2023,"CIO Authority",21.216281
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2023,"Budget Authority",21.216281
006,"Department of Commerce",006-60-4421-0,"First Responder Network Authority",2023,"Funding Total",18.563008
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2023,"CIO Authority",5.94
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2023,"Budget Authority",5.94
006,"Department of Commerce",006-05-0126-0,"Office of the Inspector General",2023,"Funding Total",5.94
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2023,"CIO Authority",1.686407
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2023,"Budget Authority",1.686407
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2023,"Funding Total",2.190848
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2023,"CIO Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2023,"Budget Authority",0
006,"Department of Commerce",006-06-2050-0,"Economic Development Assistance Programs",2023,"Funding Total",5.566663
006,"Department of Commerce",006-05-0133-0,"Nonrecurring Expenses Fund",2023,"CIO Authority",0
006,"Department of Commerce",006-05-0133-0,"Nonrecurring Expenses Fund",2023,"Budget Authority",0
006,"Department of Commerce",006-05-0133-0,"Nonrecurring Expenses Fund",2023,"Funding Total",88.020209
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2023,"CIO Authority",110.016967
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2023,"Budget Authority",108.981424
006,"Department of Commerce",006-55-0500-0,"Scientific and Technical Research and Services",2023,"Funding Total",115.55504
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2023,"CIO Authority",117.459397
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2023,"Budget Authority",110.990893
006,"Department of Commerce",006-05-4511-0,"Working Capital Fund",2023,"Funding Total",121.28618
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2023,"CIO Authority",552.023282
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2023,"Budget Authority",9318.621811
006,"Department of Commerce",006-48-1450-0,"Operations, Research, and Facilities",2023,"Funding Total",603.813553
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2023,"CIO Authority",22.897009
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2023,"Budget Authority",22.897009
006,"Department of Commerce",006-30-0300-0,"Operations and Administration",2023,"Funding Total",23.020066
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2023,"CIO Authority",6.784685
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2023,"Budget Authority",5.212874
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2023,"Funding Total",1.57181
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2023,"CIO Authority",0.069003
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2023,"Budget Authority",0.069003
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2023,"Funding Total",0.072459
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2023,"CIO Authority",0
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2023,"Budget Authority",0
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2023,"Funding Total",2.175
006,"Department of Commerce",006-55-0520-0,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2023,"CIO Authority",0
006,"Department of Commerce",006-55-0520-0,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2023,"Budget Authority",0
006,"Department of Commerce",006-55-0520-0,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2023,"Funding Total",0.867127
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2023,"CIO Authority",726.255542
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2023,"Budget Authority",726.255544
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2023,"Funding Total",779.185338
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2023,"CIO Authority",11.228163
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2023,"Budget Authority",11.387496
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2023,"Funding Total",11.987242
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2023,"CIO Authority",67.776441
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2023,"Budget Authority",66.264387
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2023,"Funding Total",67.975296
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2023,"CIO Authority",111.894921
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2023,"Budget Authority",97.879923
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2023,"Funding Total",130.270357
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2023,"CIO Authority",32.052
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2023,"Budget Authority",32.052
006,"Department of Commerce",006-54-4295-0,"NTIS Revolving Fund",2023,"Funding Total",33.043
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2023,"CIO Authority",397.434279
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2023,"Budget Authority",397.434279
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2023,"Funding Total",398.535655
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2023,"CIO Authority",32.571442
006,"Department of Commerce",006-07-0401-0,"Current Surveys and Programs",2023,"Budget Authority",32.571442
